Series ID,Year,Period,Label,Value
LASST370000000000003,1985,M11,1985 Nov,4.9
LASST370000000000003,1985,M12,1985 Dec,4.9
LASST370000000000003,1986,M01,1986 Jan,5.0
LASST370000000000003,1986,M02,1986 Feb,5.2
LASST370000000000003,1986,M03,1986 Mar,5.3
LASST370000000000003,1986,M04,1986 Apr,5.4
LASST370000000000003,1986,M05,1986 May,5.4
LASST370000000000003,1986,M06,1986 Jun,5.4
LASST370000000000003,1986,M07,1986 Jul,5.4
LASST370000000000003,1986,M08,1986 Aug,5.3
LASST370000000000003,1986,M09,1986 Sep,5.3
LASST370000000000003,1986,M10,1986 Oct,5.3
LASST370000000000003,1986,M11,1986 Nov,5.2
LASST370000000000003,1986,M12,1986 Dec,5.2
LASST370000000000003,1987,M01,1987 Jan,5.1
LASST370000000000003,1987,M02,1987 Feb,5.0
LASST370000000000003,1987,M03,1987 Mar,4.9
LASST370000000000003,1987,M04,1987 Apr,4.7
LASST370000000000003,1987,M05,1987 May,4.6
LASST370000000000003,1987,M06,1987 Jun,4.5
LASST370000000000003,1987,M07,1987 Jul,4.4
LASST370000000000003,1987,M08,1987 Aug,4.3
LASST370000000000003,1987,M09,1987 Sep,4.3
LASST370000000000003,1987,M10,1987 Oct,4.3
LASST370000000000003,1987,M11,1987 Nov,4.2
LASST370000000000003,1987,M12,1987 Dec,4.2
LASST370000000000003,1988,M01,1988 Jan,4.1
LASST370000000000003,1988,M02,1988 Feb,3.9
LASST370000000000003,1988,M03,1988 Mar,3.8
LASST370000000000003,1988,M04,1988 Apr,3.6
LASST370000000000003,1988,M05,1988 May,3.5
LASST370000000000003,1988,M06,1988 Jun,3.5
LASST370000000000003,1988,M07,1988 Jul,3.5
LASST370000000000003,1988,M08,1988 Aug,3.5
LASST370000000000003,1988,M09,1988 Sep,3.6
LASST370000000000003,1988,M10,1988 Oct,3.6
LASST370000000000003,1988,M11,1988 Nov,3.6
LASST370000000000003,1988,M12,1988 Dec,3.6
LASST370000000000003,1989,M01,1989 Jan,3.6
LASST370000000000003,1989,M02,1989 Feb,3.6
LASST370000000000003,1989,M03,1989 Mar,3.5
LASST370000000000003,1989,M04,1989 Apr,3.6
LASST370000000000003,1989,M05,1989 May,3.6
LASST370000000000003,1989,M06,1989 Jun,3.6
LASST370000000000003,1989,M07,1989 Jul,3.6
LASST370000000000003,1989,M08,1989 Aug,3.6
LASST370000000000003,1989,M09,1989 Sep,3.5
LASST370000000000003,1989,M10,1989 Oct,3.5
LASST370000000000003,1989,M11,1989 Nov,3.4
LASST370000000000003,1989,M12,1989 Dec,3.4
LASST370000000000003,1990,M01,1990 Jan,3.4
LASST370000000000003,1990,M02,1990 Feb,3.5
LASST370000000000003,1990,M03,1990 Mar,3.6
LASST370000000000003,1990,M04,1990 Apr,3.7
LASST370000000000003,1990,M05,1990 May,3.8
LASST370000000000003,1990,M06,1990 Jun,3.9
LASST370000000000003,1990,M07,1990 Jul,4.0
LASST370000000000003,1990,M08,1990 Aug,4.2
LASST370000000000003,1990,M09,1990 Sep,4.4
LASST370000000000003,1990,M10,1990 Oct,4.7
LASST370000000000003,1990,M11,1990 Nov,4.9
LASST370000000000003,1990,M12,1990 Dec,5.2
LASST370000000000003,1991,M01,1991 Jan,5.4
LASST370000000000003,1991,M02,1991 Feb,5.5
LASST370000000000003,1991,M03,1991 Mar,5.7
LASST370000000000003,1991,M04,1991 Apr,5.8
LASST370000000000003,1991,M05,1991 May,5.9
LASST370000000000003,1991,M06,1991 Jun,5.9
LASST370000000000003,1991,M07,1991 Jul,5.9
LASST370000000000003,1991,M08,1991 Aug,5.9
LASST370000000000003,1991,M09,1991 Sep,5.9
LASST370000000000003,1991,M10,1991 Oct,5.9
LASST370000000000003,1991,M11,1991 Nov,5.9
LASST370000000000003,1991,M12,1991 Dec,6.0
LASST370000000000003,1992,M01,1992 Jan,6.1
LASST370000000000003,1992,M02,1992 Feb,6.1
LASST370000000000003,1992,M03,1992 Mar,6.1
LASST370000000000003,1992,M04,1992 Apr,6.1
LASST370000000000003,1992,M05,1992 May,6.1
LASST370000000000003,1992,M06,1992 Jun,6.1
LASST370000000000003,1992,M07,1992 Jul,6.1
LASST370000000000003,1992,M08,1992 Aug,6.1
LASST370000000000003,1992,M09,1992 Sep,6.0
LASST370000000000003,1992,M10,1992 Oct,6.0
LASST370000000000003,1992,M11,1992 Nov,5.9
LASST370000000000003,1992,M12,1992 Dec,5.8
LASST370000000000003,1993,M01,1993 Jan,5.7
LASST370000000000003,1993,M02,1993 Feb,5.6
LASST370000000000003,1993,M03,1993 Mar,5.5
LASST370000000000003,1993,M04,1993 Apr,5.4
LASST370000000000003,1993,M05,1993 May,5.2
LASST370000000000003,1993,M06,1993 Jun,5.1
LASST370000000000003,1993,M07,1993 Jul,4.9
LASST370000000000003,1993,M08,1993 Aug,4.8
LASST370000000000003,1993,M09,1993 Sep,4.6
LASST370000000000003,1993,M10,1993 Oct,4.5
LASST370000000000003,1993,M11,1993 Nov,4.5
LASST370000000000003,1993,M12,1993 Dec,4.5
LASST370000000000003,1994,M01,1994 Jan,4.5
LASST370000000000003,1994,M02,1994 Feb,4.5
LASST370000000000003,1994,M03,1994 Mar,4.4
LASST370000000000003,1994,M04,1994 Apr,4.4
LASST370000000000003,1994,M05,1994 May,4.4
LASST370000000000003,1994,M06,1994 Jun,4.4
