System,State,County,Requesting Party,Efforts to Remove Vulnerable Persons,Efforts to Remove Persons with/Suspend Arrests for Nonviolent Offenses,Efforts to Remove Rehabilitated People w/ Little Threat to Public Safety,Efforts for Early/Accelerated Release,Date,Source(s),Additional Notes
Juvenile Detention,California,Alameda,Oakland City Council,,X,,,4/21/2020,https://drive.google.com/file/d/1RKOyYnZtl8KPCSBsbMpflHOcgDNC-Dsg/view?usp=sharing,Accompanying report on cited resolution: https://drive.google.com/file/d/16U7QYqTc6Ve6HCf_re5d66mLY9CY3fpC/view?usp=sharing
System-Wide,Colorado,"
","ACLU of Colorado, Office of the State Public Defender, Office of the Alternate Defense Counsel, Colorado Criminal Defense Bar, Denver Municipal Public Defender, Colorado Criminal Justice Reform Coalition, Colorado Freedom Fund, and Office of Respondent Parents’ Counsel, Criminal Justice Act Panel Standing Committee",X,X,X,X,3/17/2020,https://aclu-co.org/governor-and-state-officials-urged-to-reduce-jail-and-prison-population-during-covid-19-pandemic/,The letter urges officials to use their existing powers and “moral authority” to protect people involved in the state’s jail and prison system through a detailed action plan
System-Wide,Connecticut,,"ACLU-CT, Global Health Justice Partnership, Stop Solitary CT, Sex WOrkers and Allies Network, Connecticut Bail Fund, The Katal Center for Health, Equity and Justice (+ number of endorsing organizations)",X,X,,X,3/17/2020,https://drive.google.com/open?id=1E41348ai4el1e2toWctVgoHRWLo6i2-m,
System-Wide,Connecticut,,ACLU-CT ,,,,,3/26/2020,https://www.acluct.org/sites/default/files/field_documents/2020-03-26_letter_to_committee_requesting_emergency_alteration_of_rules.pdf,"Request to change superior court rules to request emergency alteration of pre-trial release rules (presumption against financial conditions; mechanism for mod; 48-hour review of COVID-based mod, etc.)"
Prison,Connecticut,,Coalition,x,x,,,,,
System-Wide,Federal,,N.Y. Rep. Nadler,X,X,,,3/20/2020,https://www.nydailynews.com/new-york/ny-nadler-doj-inmates-20200320-d6hbdjcuj5aitppi3ui2xz7tjy-story.html?utm_source=First+Read+Newsletters&utm_campaign=0add2956c4-EMAIL_CAMPAIGN_2020_03_21_11_53&utm_medium=email&utm_term=0_252d27c7d1-0add2956c4-34734956&mc_cid=0add2956c4&mc_eid=9b01066271,"N.Y. Rep. Nadler, chair of the House Judiciary Committee, wrote letter to Attorney General Barr, calling for release of those vulnerable to infection and reduction in new federal arrests"
System-Wide,Federal,,14 U.S. Senators,X,X,X,X,3/23/2020,https://www.durbin.senate.gov/imo/media/doc/Letter.%20to%20DOJ%20and%20BOP%20on%20COVID-19%20and%20FSA%20provisions%20-%20final%20bipartisan%20text%20with%20signature%20blocks.pdf,
System-Wide,Federal,,The Justice Collaborative,X,,,X,Forthcoming,See attached,"Forthcoming letter to President Trump by the Justice Collaborative (awaiting signatures), recommended protection for vulnerable populations as well as policy changes for immigration detention facilities"
Juvenile Detention,Georgia,Richmond,Law Office Public Defender Augusta Judicial Circuit; Georgia Public Defender Council; Southern Juvenile Defender Center,X,,X,,3/17/2020,,Filing Motions to Reconsider Detention due to court dates being cancelled/ suspended for youth in custody pending trial
Jail,Georgia,Richmond,Law Office Public Defender Augusta Judicial Circuit; The Bail Project; Georgia Public Defender Council (GPDC),X,X,,,3/20/20,,
